date,county,state,fips,cases,deaths,Year,month1,Month,Year-Month
2020-03-25,Clark,Ohio,39023,2,0,2020,3,03,2020-03
2020-03-25,Clark,Washington,53011,16,4,2020,3,03,2020-03
2020-03-26,Clark,Arkansas,05019,15,0,2020,3,03,2020-03
2020-03-26,Los Angeles,California,06037,1216,21,2020,3,03,2020-03
2020-03-26,Hawaii,Hawaii,15001,5,0,2020,3,03,2020-03
2020-03-26,Cook,Illinois,17031,1904,18,2020,3,03,2020-03
2020-03-26,Clark,Indiana,18019,10,0,2020,3,03,2020-03
2020-03-26,Clark,Kentucky,21049,5,0,2020,3,03,2020-03
2020-03-26,Clark,Nevada,32003,350,10,2020,3,03,2020-03
2020-03-26,New York City,New York,,23182,435,2020,3,03,2020-03
2020-03-26,Clark,Ohio,39023,2,0,2020,3,03,2020-03
2020-03-26,Clark,Washington,53011,48,5,2020,3,03,2020-03
2020-03-26,Clark,Wisconsin,55019,1,0,2020,3,03,2020-03
2020-03-27,Clark,Arkansas,05019,17,0,2020,3,03,2020-03
2020-03-27,Los Angeles,California,06037,1465,27,2020,3,03,2020-03
2020-03-27,Hawaii,Hawaii,15001,7,0,2020,3,03,2020-03
2020-03-27,Cook,Illinois,17031,2239,20,2020,3,03,2020-03
2020-03-27,Clark,Indiana,18019,12,0,2020,3,03,2020-03
2020-03-27,Clark,Kentucky,21049,5,0,2020,3,03,2020-03
2020-03-27,Clark,Nevada,32003,443,10,2020,3,03,2020-03
2020-03-27,New York City,New York,,25509,560,2020,3,03,2020-03
2020-03-27,Clark,Ohio,39023,2,0,2020,3,03,2020-03
2020-03-27,Clark,Washington,53011,76,6,2020,3,03,2020-03
2020-03-27,Clark,Wisconsin,55019,3,0,2020,3,03,2020-03
2020-03-28,Clark,Arkansas,05019,18,0,2020,3,03,2020-03
2020-03-28,Los Angeles,California,06037,1804,33,2020,3,03,2020-03
2020-03-28,Hawaii,Hawaii,15001,10,0,2020,3,03,2020-03
2020-03-28,Cook,Illinois,17031,2613,28,2020,3,03,2020-03
2020-03-28,Clark,Indiana,18019,18,0,2020,3,03,2020-03
2020-03-28,Clark,Kentucky,21049,6,0,2020,3,03,2020-03
2020-03-28,Clark,Nevada,32003,528,14,2020,3,03,2020-03
2020-03-28,New York City,New York,,30919,825,2020,3,03,2020-03
2020-03-28,Clark,Ohio,39023,2,0,2020,3,03,2020-03
2020-03-28,Clark,Washington,53011,82,6,2020,3,03,2020-03
2020-03-28,Clark,Wisconsin,55019,3,0,2020,3,03,2020-03
2020-03-29,Clark,Arkansas,05019,18,0,2020,3,03,2020-03
2020-03-29,Los Angeles,California,06037,2136,37,2020,3,03,2020-03
2020-03-29,Hawaii,Hawaii,15001,12,0,2020,3,03,2020-03
2020-03-29,Cook,Illinois,17031,3445,40,2020,3,03,2020-03
2020-03-29,Clark,Indiana,18019,20,0,2020,3,03,2020-03
2020-03-29,Clark,Kentucky,21049,6,0,2020,3,03,2020-03
2020-03-29,Clark,Nevada,32003,528,14,2020,3,03,2020-03
2020-03-29,New York City,New York,,33983,991,2020,3,03,2020-03
2020-03-29,Clark,Ohio,39023,7,0,2020,3,03,2020-03
2020-03-29,Clark,South Dakota,46025,1,0,2020,3,03,2020-03
2020-03-29,Clark,Washington,53011,90,6,2020,3,03,2020-03
2020-03-29,Clark,Wisconsin,55019,3,0,2020,3,03,2020-03
2020-03-30,Clark,Arkansas,05019,24,0,2020,3,03,2020-03
2020-03-30,Los Angeles,California,06037,2474,44,2020,3,03,2020-03
2020-03-30,Cook,Georgia,13075,1,0,2020,3,03,2020-03
2020-03-30,Hawaii,Hawaii,15001,15,0,2020,3,03,2020-03
2020-03-30,Clark,Illinois,17023,1,0,2020,3,03,2020-03
2020-03-30,Cook,Illinois,17031,3727,44,2020,3,03,2020-03
2020-03-30,Clark,Indiana,18019,27,0,2020,3,03,2020-03
2020-03-30,Clark,Kentucky,21049,7,0,2020,3,03,2020-03
2020-03-30,Clark,Nevada,32003,753,15,2020,3,03,2020-03
2020-03-30,New York City,New York,,38375,1202,2020,3,03,2020-03
2020-03-30,Clark,Ohio,39023,6,0,2020,3,03,2020-03
2020-03-30,Clark,South Dakota,46025,1,0,2020,3,03,2020-03
2020-03-30,Clark,Washington,53011,110,6,2020,3,03,2020-03
2020-03-30,Clark,Wisconsin,55019,3,0,2020,3,03,2020-03
2020-03-31,Clark,Arkansas,05019,24,0,2020,3,03,2020-03
2020-03-31,Los Angeles,California,06037,3011,54,2020,3,03,2020-03
2020-03-31,Cook,Georgia,13075,1,0,2020,3,03,2020-03
