"","id","last_scraped","beds","bedrooms","host_is_superhost","accommodates","price","availability_30","availability_60","availability_90","availability_365","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","num_reviews","price_numeric","state"
"2238",21376966,2021-06-05,1,NA,FALSE,3,"$171.00",2,2,2,2,2021-04-11,4.5,4,4,5,4.5,5,4,2,171,"NY"
"2239",21411274,2021-06-04,1,1,TRUE,2,"$101.00",0,0,0,95,2021-05-15,4.61,4.77,4.44,4.91,4.83,4.96,4.74,2,101,"NY"
"2240",21413889,2021-06-03,1,NA,FALSE,2,"$79.00",8,12,15,15,2021-04-10,4.97,5,5,4.97,5,4.57,4.95,1,79,"NY"
"2241",21414821,2021-06-04,1,1,FALSE,2,"$100.00",1,24,53,53,2020-08-19,4.63,4.77,4.25,4.83,4.76,4.97,4.65,1,100,"NY"
"2242",21421657,2021-06-04,2,1,TRUE,2,"$152.00",4,13,32,269,2021-05-28,4.9,4.91,4.94,4.95,4.94,4.95,4.77,25,152,"NY"
"2243",21422721,2021-06-06,2,1,TRUE,2,"$57.00",18,48,78,352,2021-05-17,4.64,4.79,4.46,4.92,4.81,4.76,4.7,12,57,"NY"
"2244",21423426,2021-06-04,1,1,FALSE,2,"$200.00",4,4,12,87,2021-06-01,4.27,4.33,4.49,4.73,4.74,4.74,4.33,7,200,"NY"
"2245",21427369,2021-06-06,4,1,TRUE,5,"$119.00",0,3,17,257,2021-04-23,4.95,4.97,4.93,4.95,4.99,4.95,4.88,3,119,"NY"
"2246",21447304,2021-06-04,2,1,TRUE,3,"$125.00",3,7,15,177,2021-06-01,4.69,4.85,5,5,5,4.77,4.85,13,125,"NY"
"2247",21458689,2021-06-04,2,2,TRUE,4,"$171.00",23,50,80,355,2021-05-10,4.93,4.95,4.97,4.99,5,4.84,4.86,3,171,"NY"
"2248",21461282,2021-06-04,4,3,FALSE,8,"$104.00",0,0,0,123,2021-05-19,4.66,4.68,4.7,4.92,4.85,4.72,4.75,3,104,"NY"
"2249",21473314,2021-06-03,1,1,FALSE,2,"$35.00",0,0,0,8,2021-04-03,4.27,4.59,4.16,4.75,4.83,4.85,4.37,1,35,"NY"
"2250",21491304,2021-06-05,1,1,TRUE,3,"$168.00",6,20,50,315,2021-04-25,5,4.67,5,5,5,4.67,5,1,168,"NY"
"2251",21503589,2021-06-04,2,1,TRUE,2,"$101.00",3,25,42,53,2021-05-10,4.97,4.96,4.96,4.98,4.99,4.84,4.86,6,101,"NY"
"2252",21505197,2021-06-04,2,1,TRUE,2,"$178.00",0,2,3,168,2020-11-01,4.89,4.98,5,4.98,4.98,4.97,4.82,1,178,"NY"
"2253",21515431,2021-06-05,1,1,FALSE,4,"$180.00",0,0,0,0,2021-05-31,4.7,4.87,4.09,4.94,4.94,4.91,4.74,3,180,"NY"
"2254",21517530,2021-06-05,3,1,TRUE,3,"$125.00",12,36,66,320,2021-05-31,4.91,4.94,4.94,4.99,4.99,4.9,4.86,7,125,"NY"
"2255",21518467,2021-06-03,3,3,TRUE,6,"$350.00",7,20,31,31,2021-04-26,4.91,4.95,4.82,5,4.95,4.91,4.82,2,350,"NY"
"2256",21531023,2021-06-06,2,NA,FALSE,3,"$84.00",23,53,83,83,2021-05-22,4.63,4.69,4.78,4.93,4.96,4.69,4.69,7,84,"NY"
"2257",21540737,2021-06-05,3,2,FALSE,5,"$98.00",7,36,66,338,2021-06-01,4.73,4.9,4.82,4.88,4.87,4.63,4.79,14,98,"NY"
"2258",21541423,2021-06-05,1,1,TRUE,2,"$118.00",8,36,66,341,2021-04-17,4.72,4.8,4.93,4.93,4.79,4.68,4.78,1,118,"NY"
"2259",21549554,2021-06-05,1,1,TRUE,2,"$58.00",1,1,1,1,2021-03-18,4.96,4.95,4.94,5,4.99,4.85,4.93,2,58,"NY"
"2260",21550437,2021-06-04,1,1,TRUE,1,"$34.00",18,48,78,168,2021-05-25,4.58,4.79,4.68,4.68,4.58,4.66,4.66,2,34,"NY"
"2261",21551829,2021-06-05,1,1,FALSE,2,"$67.00",16,46,76,166,2021-04-30,4.14,4.27,4.23,4.55,4.45,4.41,4.41,2,67,"NY"
"2262",21566103,2021-06-04,1,1,FALSE,2,"$117.00",0,3,33,244,2021-04-24,5,5,4.5,5,5,5,5,1,117,"NY"
"2263",21566909,2021-06-04,2,2,TRUE,5,"$235.00",2,4,20,287,2021-05-12,4.92,4.94,4.86,4.91,4.91,4.95,4.85,5,235,"NY"
"2264",21577856,2021-06-05,4,3,FALSE,5,"$245.00",0,2,2,2,2021-05-31,4.74,4.78,4.79,4.88,4.83,4.93,4.66,1,245,"NY"
"2265",21581545,2021-06-04,2,1,FALSE,3,"$58.00",28,58,88,361,2021-05-25,4.66,4.82,4.65,4.94,4.92,4.83,4.75,18,58,"NY"
"2266",21593310,2021-06-05,1,1,FALSE,2,"$50.00",0,0,2,271,2021-05-12,4.67,4.85,4.7,4.91,4.93,4.82,4.74,1,50,"NY"
"2267",21595000,2021-06-03,2,NA,FALSE,2,"$151.00",0,0,0,0,2021-03-12,5,5,4,5,5,5,5,1,151,"NY"
"2268",21607905,2021-06-04,1,NA,FALSE,3,"$90.00",23,53,83,83,2021-04-16,4.38,4.69,4.35,4.36,4.46,4.53,4.6,1,90,"NY"
"2269",21609424,2021-06-05,0,1,FALSE,2,"$45.00",0,0,0,0,2021-05-17,4.51,4.68,4.34,4.89,4.81,4.78,4.55,7,45,"NY"
"2270",21609824,2021-06-04,1,1,TRUE,2,"$33.00",0,0,0,154,2021-04-15,5,5,4.97,5,5,4.93,5,3,33,"NY"
"2271",21619569,2021-06-04,5,3,FALSE,10,"$239.00",16,46,75,75,2021-05-23,4.68,4.81,4.8,4.77,4.84,4.54,4.64,8,239,"NY"
"2272",21620762,2021-06-05,1,1,TRUE,2,"$121.00",2,2,20,20,2021-06-01,4.95,4.96,4.95,4.97,4.99,4.9,4.89,8,121,"NY"
"2273",21621231,2021-06-06,1,1,FALSE,2,"$60.00",0,0,0,0,2021-04-01,5,5,4.5,5,5,4.5,5,1,60,"NY"
"2274",21621926,2021-06-04,1,1,FALSE,1,"$50.00",23,53,83,358,2021-05-07,4.58,4.81,4.68,4.35,4.35,4.9,4.74,2,50,"NY"
"2275",21640455,2021-06-05,1,1,FALSE,1,"$40.00",18,18,18,285,2021-04-27,4.81,4.9,4.79,4.95,4.92,4.69,4.85,3,40,"NY"
"2276",21642995,2021-06-04,1,1,FALSE,1,"$46.00",0,9,39,314,2020-12-01,4.72,4.56,4.61,4.72,4.69,4.67,4.67,1,46,"NY"
"2277",21643550,2021-06-04,1,1,TRUE,2,"$58.00",10,34,64,328,2021-05-09,5,4.93,4.93,4.93,4.93,4.87,4.87,3,58,"NY"
"2278",21646774,2021-06-06,1,1,FALSE,2,"$55.00",25,45,75,350,2021-06-03,4.58,4.78,4.6,4.91,4.91,4.8,4.66,13,55,"NY"
"2279",21647932,2021-06-04,1,1,FALSE,1,"$35.00",8,35,64,324,2021-05-31,4.61,4.61,4.71,4.55,4.74,4.81,4.65,1,35,"NY"
"2280",21651023,2021-06-04,1,1,TRUE,2,"$48.00",0,0,0,16,2021-05-14,4.84,4.92,4.83,4.97,4.95,4.97,4.77,15,48,"NY"
"2281",21664152,2021-06-03,2,1,TRUE,4,"$95.00",0,0,0,1,2021-05-19,4.81,4.83,4.86,4.86,4.72,4.59,4.83,2,95,"NY"
"2282",21665966,2021-06-04,1,1,TRUE,2,"$85.00",26,56,86,86,2021-05-25,4.75,5,4.75,5,5,5,4.75,1,85,"NY"
"2283",21694908,2021-06-04,2,1,TRUE,2,"$155.00",2,3,25,105,2021-06-01,4.93,4.96,4.96,4.97,5,4.83,4.79,7,155,"NY"
"2284",21714930,2021-06-03,4,4,TRUE,8,"$275.00",18,48,78,200,2020-01-01,4.84,4.94,4.83,4.97,4.97,4.75,4.79,1,275,"NY"
"2285",21728589,2021-06-04,0,NA,FALSE,2,"$120.00",4,34,64,154,2021-04-23,4.57,4.81,4.56,4.63,4.65,4.61,4.69,1,120,"NY"
"2286",21728670,2021-06-04,1,1,TRUE,2,"$100.00",19,46,76,76,2021-05-08,4.85,4.95,4.87,4.93,4.94,4.97,4.85,3,100,"NY"
"2287",21738886,2021-06-04,2,2,FALSE,4,"$450.00",9,39,69,69,2021-05-21,4.33,4.62,4.33,4.48,4.86,4.9,4.57,1,450,"NY"
"2288",21768136,2021-06-05,1,1,FALSE,1,"$76.00",0,0,0,0,2021-04-30,4.69,4.92,4.46,4.92,4.92,4.92,4.85,1,76,"NY"
"2289",21769638,2021-06-05,2,2,FALSE,3,"$126.00",0,0,7,240,2021-05-15,4.59,4.81,4.4,4.93,4.9,4.75,4.67,1,126,"NY"
"2290",21769981,2021-06-05,1,1,TRUE,2,"$80.00",14,14,14,138,2021-05-20,4.73,4.9,4.76,4.64,4.9,4.73,4.81,4,80,"NY"
"2291",21770277,2021-06-05,1,1,TRUE,2,"$62.00",1,1,1,1,2021-05-30,4.81,4.87,4.75,4.79,4.94,4.72,4.88,13,62,"NY"
"2292",21771006,2021-06-06,3,3,TRUE,5,"$415.00",0,0,5,8,2021-05-31,4.82,4.67,4.67,4.97,4.97,4.97,4.82,3,415,"NY"
"2293",21771881,2021-06-04,2,NA,FALSE,2,"$75.00",18,25,38,139,2021-05-31,4.76,4.9,4.73,4.92,4.94,4.81,4.87,5,75,"NY"
"2294",21772083,2021-06-05,1,1,TRUE,3,"$91.00",1,1,1,1,2021-05-16,4.76,4.86,4.64,4.9,4.93,4.7,4.71,8,91,"NY"
"2295",21786958,2021-06-04,4,3,TRUE,5,"$275.00",18,48,77,77,2021-05-23,4.9,5,4.97,4.98,4.98,4.83,4.8,3,275,"NY"
"2296",21797359,2021-06-03,3,2,FALSE,4,"$140.00",0,0,0,0,2021-03-27,4.57,4.57,4.57,5,4.93,4.79,4.5,1,140,"NY"
